名称,郵便番号,住所,電話番号,施設内設置場所,AED利用可能曜日,AED利用可能時間,小児用パッドの有無,緯度,経度
那須塩原市本庁舎,325-0027,栃木県那須塩原市共墾社108番地2,0287-62-7128,1階ロビー（正面玄関付近）,,,,36.96193072853302,140.04621506880315
那須塩原市西那須野支所,329-2725,栃木県那須塩原市あたご町2番3号,0287-37-5105,正面玄関脇,,,,36.882448830260486,139.98394704363722
那須塩原市塩原支所,329-2924,栃木県那須塩原市中塩原1番地2,0287-32-2911,1階公民館（図書コーナー）,,,,36.977382762566734,139.81004925579288
黒磯保健センター,325-0057,栃木県那須塩原市黒磯幸町8番10号,0287-63-1100,センター玄関,,,,36.968768218864646,140.05491112562524
西那須野保健センター,329-2705,栃木県那須塩原市南郷屋5丁目163番地,0287-38-1356,センター事務室,,,,36.89727587566494,139.98786477055995
シニアセンター,325-0013,栃木県那須塩原市鍋掛1429番地34,0287-73-2210,事務室,,,,36.95380402880185,140.0729244214802
板室健康のゆグリーングリーン,325-0115,栃木県那須塩原市百村3090番地6,0287-69-0232,更衣室入口前,,,,37.063945195111465,139.922403534517
関谷小学校,329-2801,栃木県那須塩原市関谷2018番地1,0287-35-2034,職員室,,,,36.95234788344598,139.90332108626404
三島小学校,329-2752,栃木県那須塩原市三島1丁目21番地,0287-36-0103,保健室,,,,36.89560570459762,139.97587847350357
稲村小学校,325-0033,栃木県那須塩原市埼玉8番地,0287-60-1291,職員室前廊下,,,,36.97932074699073,140.02949125814774
黒磯小学校,325-0051,栃木県那須塩原市豊町2-1,0287-60-1290,保健室,,,,36.97014235672239,140.05364627517676
東原小学校,325-0034,栃木県那須塩原市東原4,0287-60-1292,職員玄関,,,,36.983755813315234,140.0328472778998
埼玉小学校,325-0033,栃木県那須塩原市埼玉99,0287-60-1293,職員室,,,,36.962821547150476,140.02281594412327
豊浦小学校,325-0023,栃木県那須塩原市豊浦17,0287-60-1294,職員室,,,,36.961628735651814,140.06035076558987
共英小学校,325-0027,栃木県那須塩原市共墾社99-1,0287-60-1295,職員室,,,,36.96375845616648,140.04572733195934
鍋掛小学校,325-0013,栃木県那須塩原市鍋掛1019,0287-60-1296,職員室,,,,36.94583170891562,140.09306193360035
大原間小学校,329-3156,栃木県那須塩原市方京3-14-6,0287-67-1055,職員玄関,,,,36.93116716406152,140.01201793626655
波立小学校,329-3124,栃木県那須塩原市波立228,0287-67-1056,職員室,,,,36.95262922843945,139.99277266923627
高林小学校,325-0107,栃木県那須塩原市高林483,0287-68-7118,職員室,,,,36.98617241566565,139.94340377765337
青木小学校,325-0103,栃木県那須塩原市青木12,0287-62-1293,職員玄関,,,,36.99270534356192,139.9944243004227
槻沢小学校,329-2703,栃木県那須塩原市槻沢1,0287-36-0246,保健室前廊下,,,,36.91073898759144,139.99759385546346
東小学校,329-2735,栃木県那須塩原市太夫塚1-193,0287-36-0066,職員室,,,,36.88477374219986,139.98060073180562
南小学校,329-2733,栃木県那須塩原市二区町399,0287-36-0244,職員玄関,,,,36.855610155810304,139.9717138457243
西小学校,329-2746,栃木県那須塩原市四区町662,0287-62-7128,職員玄関入口,,,,36.89532279717295,139.95131049984664
大山小学校,329-2712,栃木県那須塩原市下永田8-7,0287-36-4192,職員室,,,,36.875053198551996,140.0014326568784
金沢小学校,329-2812,栃木県那須塩原市金沢1969-2,0287-35-2610,職員玄関,,,,36.909298288295666,139.90022299959406
大貫小学校,329-2814,栃木県那須塩原市上大貫2077-2,0287-35-2251,保健室,,,,36.89462324123009,139.9254198584995
横林小学校,329-2806,栃木県那須塩原市横林137-5,0287-35-2250,職員室,,,,36.94012975751872,139.9603190010615
黒磯中学校,325-0051,栃木県那須塩原市豊町5番3号,0287-60-1010,職員室前廊下,,,,36.96867065521896,140.05005874737526
黒磯北中学校,325-0033,栃木県那須塩原市埼玉6番地,0287-60-1012,職員玄関,,,,36.98226377525095,140.02281510593696
厚崎中学校,325-0026,栃木県那須塩原市上厚崎385番地,0287-60-1008,職員室,,,,36.95912154525882,140.03309631880322
日新中学校,325-0013,栃木県那須塩原市鍋掛1087番地,0287-60-1009,職員室前廊下,,,,36.957823529699745,140.07364508610658
東那須野中学校,329-3152,栃木県那須塩原市島方689番地,0287-67-1166,職員室,,,,36.93865717039004,140.00559626666544
高林中学校,325-0108,栃木県那須塩原市箭坪353番地,0287-68-7116,職員玄関,,,,37.005314470330525,139.94282100333774
三島中学校,329-2751,栃木県那須塩原市東三島1丁目104番地,0287-36-0209,職員玄関,,,,36.89921659443226,139.982822121128
西那須野中学校,329-2712,栃木県那須塩原市下永田4丁目3番地,0287-36-0146,職員玄関,,,,36.87727476749789,139.98671162768053
箒根中学校,329-2801,栃木県那須塩原市関谷1251番地,0287-35-2023,職員玄関,,,,36.94476463687003,139.8992162655365
塩原小・中学校,329-2924,栃木県那須塩原市中塩原364番地,0287-32-2919,昇降口（小・中学校共用）,,,,36.97950266663338,139.80449414431664
黒磯公民館,325-0042,栃木県那須塩原市桜町1番5号,0287-60-1115,1階ロビー,,,,36.975659139402126,140.0515960135612
厚崎公民館,325-0026,栃木県那須塩原市上厚崎500番地1,0287-60-1166,1階ホール,,,,36.951188995094725,140.0335844186151
稲村公民館,325-0032,栃木県那須塩原市若草町117番地1,0287-64-3998,玄関ロビー,,,,36.975874000955486,140.0323743586457
とようら公民館,325-0022,栃木県那須塩原市東豊浦23番地110,0287-60-3122,玄関ロビー,,,,36.96683650237977,140.06149134279445
鍋掛公民館,325-0013,栃木県那須塩原市鍋掛531番地,0287-60-1164,事務室,,,,36.94592598943423,140.10030340692103
東那須野公民館,329-3147,栃木県那須塩原市東小屋474番地11,0287-67-1163,玄関ロビー,,,,36.93067694762252,140.0238308409629
高林公民館,325-0108,栃木県那須塩原市箭坪347番地1,0287-68-0115,玄関（ホール）,,,,37.006008940454194,139.94641196387164
西那須野公民館,329-2735,栃木県那須塩原市太夫塚1丁目194番地78,0287-36-1143,事務室脇通路の角,,,,36.88451828861624,139.97688746220524
狩野公民館,329-2703,栃木県那須塩原市槻沢231番地,0287-37-3528,公民館ロビー,,,,36.90509789159678,139.99975161210995
南公民館,329-2733,栃木県那須塩原市二区町401番地,0287-36-7341,事務室入口,,,,36.855069177051746,139.96988692600354
西公民館,329-2746,栃木県那須塩原市四区町661番地,0287-37-1677,玄関ホール,,,,36.89567562648772,139.9531042303392
三島公民館,329-2751,栃木県那須塩原市東三島6丁目337番地,0287-36-8531,事務室前,,,,36.90041684442812,139.9707943045869
大山公民館,329-2712,栃木県那須塩原市下永田8丁目7番地86,0287-37-6130,事務室脇,,,,36.87339457608428,140.0017287025456
ハロープラザ,329-2801,栃木県那須塩原市関谷1266番地4,0287-35-2006,正面玄関脇,,,,36.94503332417381,139.8958898406678
黒磯図書館,325-0061,栃木県那須塩原市末広町53番地43,0287-63-9031,玄関ホール,,,,36.96865490693991,140.0475357651632
西那須野図書館,329-2725,栃木県那須塩原市あたご町2番3号,0287-36-6001,入口脇,,,,36.88216656954879,139.9827567581298
那須野が原博物館,329-2752,栃木県那須塩原市三島5丁目1番地,0287-36-0949,エントランスホール,,,,36.899529789692394,139.96876911691893
田舎ランド鴫内,325-0118,栃木県那須塩原市鴫内725番地,0287-68-7006,管理事務所通路,,,,36.996183844117915,139.91212304305535
黒磯文化会館,325-0026,栃木県那須塩原市上厚崎490番地,0287-63-3219,市民ホール,,,,36.95173996796192,140.03235260087484
くろいそ運動場,325-0026,栃木県那須塩原市上厚崎664番地,0287-60-1113,管理事務所事務室,,,,36.959978297368956,140.0330962818811
にしなすの運動公園,329-2707,栃木県那須塩原市高柳10番地,0287-36-4785,管理事務所,,,,36.90017879986221,139.98915423502967
三島体育センター,329-2752,栃木県那須塩原市三島5丁目1番地,0287-36-4787,管理事務所,,,,36.90062844826218,139.96855408829074
塩原B＆G海洋センター,329-2923,栃木県那須塩原市上塩原604番地,0287-32-5255,管理事務所,,,,36.98215308940269,139.78696074414944
那珂川河畔公園プール,325-0017,栃木県那須塩原市黒磯362番地,0287-63-0876,管理棟事務室,,,,36.98014792125248,140.0532077811175
青木サッカー場,325-0103,栃木県那須塩原市青木101番地,0287-60-5058,管理棟事務室,,,,36.996183844117915,139.91212304305535
社会福祉協議会,329-2705,栃木県那須塩原市南郷屋5丁目163番地,0287-37-5122,事務室受付カウンター,,,,36.89728595405725,139.98784827154688
青木ふるさと物産センター,325-0103,栃木県那須塩原市青木27番地,0287-63-0399,管理事務所,,,,37.00099714488714,139.98503315178348
アグリパル塩原,329-2801,栃木県那須塩原市関谷442番地,0287-35-4401,玄関風除室,,,,36.95561016544931,139.89916290455324
塩原温泉湯っ歩の里,329-2921,栃木県那須塩原市塩原602－1,0287-32-3101,足湯入口前,,,,36.96837093659459,139.8228329391481
箱の森プレイパーク,329-2924,栃木県那須塩原市中塩原字箱の森,0287-32-3018,遊湯センター休憩室,,,,36.98419313458683,139.80973489080844
華の湯,329-2923,栃木県那須塩原市上塩原603番地,0287-31-1058,管理室,,,,36.98225719662302,139.78511739882384
塩原もの語り館,329-2921,栃木県那須塩原市塩原747番地,0287-32-4000,施設内資料館入口,,,,36.97170380093113,139.8197775598491
もみじ谷大吊橋,329-2801,栃木県那須塩原市関谷1425－60,0287-34-1037,森林の駅店舗内,,,,36.953651996225204,139.88060638810762
天皇の間記念公園,329-2921,栃木県那須塩原市塩原1266－113,0287-32-4037,出入口付近（冬季は管理室）,,,,36.96753803704934,139.8353318965628
塩原温泉ビジターセンター,329-2921,栃木県那須塩原市塩原前山国有林,0287-32-3050,センター玄関,,,,36.96700490273918,139.8336918609084
那須塩原クリーンセンター,329-2802,栃木県那須塩原市蟇沼593番地,0287-68-1881,1階正面玄関,,,,36.980688371415226,139.9144713073151
児童生徒サポートセンター,325-0058,栃木県那須塩原市錦町7番3号,0287-63-8526,事務室入口,,,,36.964390321165254,140.05354733182597
適応指導教室あすなろ,329-2705,栃木県那須塩原市南郷屋5丁目163番地,0287-36-6989,事務室入口,,,,36.89714486992071,139.9889228851498
宿泊体験館メープル,329-2923,栃木県那須塩原市上塩原58－3,0287-32-2909,事務室,,,,36.980926865849085,139.79116843348166
さくら保育園,325-0042,栃木県那須塩原市桜町1番9号,0287-62-0369,事務室,,,,36.97534998990267,140.05142234184797
ひがしなす保育園,329-3147,栃木県那須塩原市東小屋189番地,0287-65-3716,事務室,,,,36.92921434360466,140.02559495212196
たかはやし保育園,325-0108,栃木県那須塩原市箭坪353番地14,0287-68-0025,事務室,,,,37.00586991759885,139.94393198363372
なべかけ保育園,325-0013,栃木県那須塩原市鍋掛539番地,0287-62-2251,事務室前廊下（玄関）,,,,36.946158898464624,140.1008655485418
わかば保育園,325-0047,栃木県那須塩原市若葉町9番21号,0287-62-2123,事務室,,,,36.97365417540482,140.04392476026067
とようら保育園,325-0022,栃木県那須塩原市東豊浦18番地,0287-63-2773,事務室前廊下,,,,36.96484071494922,140.0630950909241
いなむら保育園,325-0033,栃木県那須塩原市埼玉6番地1165,0287-63-4721,事務室,,,,36.980041836326635,140.0255927626493
さきたま保育園,325-0033,栃木県那須塩原市埼玉100番地,0287-63-7153,事務室前廊下,,,,36.96379810766743,140.0225315265185
永田保育園,329-2712,栃木県那須塩原市下永田4丁目1341番地,0287-36-4649,事務室前廊下,,,,36.87783021102587,139.9858783755378
三島保育園,329-2752,栃木県那須塩原市三島4丁目30番地,0287-36-3980,事務室,,,,36.8989384856082,139.97087876074332
南保育園,329-2732,栃木県那須塩原市一区町287番地,0287-37-0987,事務室,,,,36.854145217768846,139.97152372478547
大貫保育園,329-2814,栃木県那須塩原市上大貫2077番地7,0287-35-2808,事務室,,,,36.896382819721055,139.92540148469783
塩原幼稚園,329-2921,栃木県那須塩原市塩原631番地4,0287-32-4361,事務室前廊下,,,,36.969054101172006,139.82365623881955
元気アップデイサービスセンターさくら,325-0042,栃木県那須塩原市桜町1-5,0287-73-0056,事務室,,,,36.97557160532363,140.0525289370542
元気アップデイサービスセンターはつらつ,329-2705,栃木県那須塩原市南郷屋5-163,0287-38-1698,事務室,,,,36.89723341149565,139.9889837761113
元気アップデイサービスセンターしまかた,329-3152,栃木県那須塩原市島方449,0287-35-2808,事務室,,,,36.927758051484616,140.0119462890618
元気アップデイサービスセンターしおばら,329-2921,栃木県那須塩原市塩原2404-2,0287-32-5678,事務室,,,,36.96923503230724,139.81865226280885
門前交流広場,329-2921,栃木県那須塩原市塩原675-9,0287-32-2914,交流室,,,,36.969372634129975,139.8225480207759
鳥野目河川公園オートキャンプ場,325-0036,栃木県那須塩原市鳥野目391-1,0287-64-4334,事務室,,,,36.99129519279765,140.03073063474258
