名称,説明,地域の写真,関連HP,緯度,経度
塩原温泉11湯　大網 ,平安時代から熱い温泉が川筋に湧き出していたとされ、今も約300段の階段を下りた箒川河畔には岩から湧き出る野趣豊かな露天風呂があり、渓谷美を楽しみながら温泉を楽しむことができます。泉質の良さは折り紙付で、飲泉第1号として認められた温泉です。川を遡上してきた魚が滝に妨げられ、大網を仕掛けたように魚が捕れたことから大網の地名が付けられました。,,,36.963508,139.865740
塩原温泉11湯塩の湯,箒川支流の鹿股川をさかのぼった谷間に湧く温泉地。温泉宿はひっそりとした隠れ宿のような趣があり、渓流沿いの落ち着いた露天風呂では、渓谷の中での入浴が堪能できます。また、塩原温泉の中では一番塩分の強い温泉です。,,,36.952217,139.8321759
塩原温泉11湯塩釜,塩原の中でも有数の湧出量を誇る塩釜は、高温の温泉が湧き、その昔、この熱を利用して釜で塩の精製が行われていたのが地名の由来です。,,,36.9634811,139.832208
塩原温泉11湯元湯,箒川源流の一つ赤川河畔に湧く温泉地。大同元年（西暦806年）の発見と伝えられる塩原温泉発祥の古湯で、当時は元湯千軒といわれた繁栄も1659年の地震で埋もれてしまった。現在は3軒が営業しているが、緑、乳白色、墨色、炭酸分の強い温泉等、個性豊かな源泉が湧き出ており、いずれもおとらぬ名湯ぞろい。濁り湯の魅力が堪能でき、山奥にひっそりと佇む秘湯の趣が魅力です。,,,36.9650672,139.7618386
塩原温泉11湯古町,塩原温泉の自然・人・文化・歴史を紹介する塩原観光の拠点「塩原もの語り館」があり、塩原の情報を得るのに便利です。観光馬車（トテ馬車）が行き交う光景は塩原の風物詩。箒川沿いに続く遊歩道や吊橋からの眺めも良く、散策するのに絶好の場所です。,,,36.9719220,139.8182870
塩原温泉11湯上塩原,箒川の上流、尾頭沢沿いに湧く上塩原は、湧出量も豊富で、四季折々に様々な表情を見せる塩原の豊かな自然のなかで、ゆっくりのんびり滞在できるのが魅力です。,,,36.9847446,139.7828373
塩原温泉11湯新湯,日塩もみじライン沿いの標高950メートルにある温泉地。江戸時代、地震により元湯から避難した人々が開いた温泉で、爆裂火口付近では今でも水蒸気が吹き出し、あたりには硫黄臭が漂い、名湯といわれる共同浴場も利用でき、湯治客も多く、色も泉質も様々で、秘湯ムードあふれる温泉地として、温泉好きには魅力の場所です。,,,36.95149193,139.7830026
塩原温泉11湯中塩原,田畑が広がるのどかな中塩原は湧出量も豊富で、のんびり疲れを癒すにはピッタリの温泉です。,,,36.9835618,139.8129960
塩原温泉11湯畑下,湾曲した箒川に抱かれるようにある畑下は、尾崎紅葉が「金色夜叉」の舞台に選んだゆかりの温泉地としても知られ、火傷や切傷によいとされる温泉は、多くの旅人を癒してきました。,,,36.9641801,139.8275132
塩原温泉11湯福渡,温泉のよさと渓谷美のすばらしさで、明治以来文人に愛された福渡は、天狗岩や、野立岩など景勝地も多く、自然豊かな塩原ならではの風景が楽しめます。,,,36.9612768,139.8422288
塩原温泉11湯門前,妙雲寺の門前町として栄えた門前は、旅館や土産物屋が軒を連ね、温泉街ならではのたたずまいが楽しめ、柔らかい温泉は優しく疲れを癒してくれる。,,,36.967432,139.8222552
