名称,見どころ,郵便番号,住所,電話番号,地域の写真,利用時間,観光カテゴリ,観光エリア,関連HP,緯度,経度
沼ッ原湿原,沼ッ原湿原は、那須連山の西端標高1230メートルに位置し、東西約250メートル、南北約500メートルに広がる亜高山の湿原です。植物は約230種確認されています。6月下旬から7月中旬に湿原を黄色に染めるニッコウキスゲの咲く時期には多くのハイカーが訪れ、沼ッ原の散策を楽しんでいます。,325-0111,栃木県那須塩原市板室地内,0287-62-7156,,,自然,板室温泉郷エリア,,37.106895,139.93141
乙女の滝,乙女の滝は、白笹山から流れる沢名川にある幅約5m、落差約10数mの美しい滝で、季節や水量によっていろいろな表情を見ることができます。駐車場から滝まで徒歩5分のところにあり、アクセスも便利です。,325-0111,栃木県那須塩原市板室703,0287-62-7156,,,自然,板室温泉郷エリア,,37.06715703132396,139.93767767786753
木の俣渓谷と木の俣園地,那珂川の支流木の俣川はまさに清流そのもの。また、渓谷沿いには緑も多く、春の新緑、秋の紅葉も楽しめる穴場スポット。,325-0115,栃木県那須塩原市百村地内,0287-62-7156,,,自然,板室温泉郷エリア,,37.049900797291244,139.93013907366444
深山湖（ダム）,ダム（湖）の周辺は豊かな自然にあふれ、新緑や深緑、紅葉など四季折々の景色を大パノラマで楽しむことができます。特に、山頂部から裾野にかけて染まる“三段染め”と呼ばれる紅葉のグラデーションは見事な眺めです。,329-2921,栃木県那須塩原市百村地内,0287-62-7156,,,観光施設,板室温泉郷エリア,,37.085013,139.90532
深山園地,平成24年10月17日に開園した深山園地を紹介しています。,,,0287-62-7156,,,自然,板室温泉郷エリア,,37.071899785182296,139.89431131546888
那須野ゼロポイント,那須塩原市青木には、北緯37度線と東経140度線が交差する「那須野ゼロポイント」があります。日本国内の陸地上のゼロポイントは39ヶ所あり、関東地方には3箇所しかありません。,325-0103,栃木県那須塩原市青木573番地,0287-62-7156,,,自然,板室温泉郷エリア,,37.003093999091185,139.9967053557813
篭岩神社（篭岩地蔵）,篭岩地蔵は、霊岩霊石のくぼみに神が宿ると考えた先人たちが湯治に訪れ、病全快のお礼にといつからともなく地蔵様を寄進したのが始まりです。地蔵は、乳癌が治癒したことへのお礼で左胸をあらわした山の神の石像とも伝えられております。,325-0111,栃木県那須塩原市板室地内,0287-62-7156,,,自然,板室温泉郷エリア,,37.062469013009526,139.928491273019
晩翠橋,美しいアーチ型が特徴の晩翠橋は長年黒磯と那須を結ぶ架け橋として愛されています。現在の橋は昭和7年に建設された5代目となります。,325-0043,栃木県那須塩原市橋本町・本郷町,0287-62-7160,,,観光施設,市街地エリア,,36.978461513903476,140.0614825418265
りんどう大橋,那須塩原市と那須町を結ぶ新たなルートとして架けられたりんどう大橋は周囲の自然に調和した鮮やかな黄緑色の橋。,325-0035,栃木県那須塩原市小結,0287-62-7156,,,観光施設,市街地エリア,,37.021147912883066,140.01392529279767
那須高原大橋,県道30号線に架り、那珂川を越え那須塩原市と那須町を結ぶ橋。平成6年に開通し、多くの観光客のドライブルートとなっています。晴れた日には那須連山が一望でき、見事な眺望が楽しめます。,325-0101,栃木県那須塩原市西岩崎,0287-62-7156,,,観光施設,市街地エリア,,37.03939346948347,139.99389313038145
那須波切不動尊火祭り,関東三霊場・滝のある寺として知られる金乗院は、高野山真言宗の寺院で、一石彫りでは日本最大の波切不動尊があり、毎年6月28日の「火祭り」では、湯加持・火渡り行・松明行などの荒行が行われます。,329-3144,栃木県那須塩原市沼野田和571,0287-65-0076,,,体験,市街地エリア,,36.9190247,140.0216583
